OBJECTID_1,SABL_PWSID,BOUNDARY_TYPE,WATER_SYSTEM_NUMBER,WATER_SYSTEM_NAME,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,OBJECTID,ACTIVITY_STATUS_CD,ACTIVITY_DATE,OWNER_TYPE_CODE,COUNTY,POPULATION,REGULATING_AGENCY,FEDERAL_CLASSIFICATION,STATE_CLASSIFICATION,ADDR_LINE_ONE_TXT,ADDR_LINE_TWO_TXT,ADDRESS_CITY_NAME,ADDRESS_STATE_CODE,ADDRESS_ZIP_CODE,SERVICE_CONNECTIONS,GLOBALID,AC_PHONE_NUMBER,AC_EMAIL,BOUNDARY_FILETYPE,DT_VERIFIED,VERIFIED_STATUS,VERIFIED_NAME,VERIFIED_TYPE,Shape__Area,Shape__Length
3725535,CA3010038,Water Service Area,CA3010038,CITY OF SANTA ANA,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1135,A ,1976/01/01 08:00:00+00,L ,ORANGE,308189,DISTRICT 08 - SANTA ANA,COMMUNITY,COMMUNITY,"220 SOUTH DAISY AVENUE, BLDG. A", ,SANTA ANA,CA  ,92703,45561,{53EBCB28-9D21-4893-863B-4AF1C08AEE03},714-647-3387                  ,CBARRERA@SANTA-ANA.ORG,WBT Tool,,Not Verified,,,102915294.262432,60022.1129923216
3725536,CA1000366,Water Service Area,CA1000366,SUNNYSIDE CONVALESCENT HOSP,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1136,A ,1984/01/21 08:00:00+00,P ,FRESNO,275,DISTRICT 23 - FRESNO,COMMUNITY,COMMUNITY,2939 S PEACH, ,FRESNO,CA  ,93725,2,{22C02C55-333A-43F9-A2A1-DB5722F4F299},559-233-6248                  ,mariom@sunnysiderehab.org,WBT Tool,,Not Verified,,,36058.67930272,765.008636203436
3725537,CA1010030,Water Service Area,CA1010030,TRANQUILLITY IRRIGATION DISTRICT,SBUCKNAM,2020/10/20 03:20:27+00,epa\gisservice,2024/11/07 06:47:01+00,1137,A ,1976/01/01 08:00:00+00,L ,FRESNO,807,DISTRICT 23 - FRESNO,COMMUNITY,COMMUNITY,25390 W. Silvieria St., ,TRANQUILLITY,CA  ,93668,340,{43702194-7D00-4A95-B764-18E81474B31D},559-698-7225                  ,thefrnzy81@yahoo.com,WBT Tool,2024/11/06 16:00:00+00,Verified,H. Mejia,Water System representative,67365082.6263307,36557.0491386708
3725538,CA1400098,Water Service Area,CA1400098,DARWIN COMMUNITY SERVICE DISTRICT,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1138,A ,2015/04/30 07:00:00+00,P ,INYO,40,DISTRICT 13 - SAN BERNARDINO,COMMUNITY,COMMUNITY,249 REDDY STREET, ,DARWIN,CA  ,93522,63,{33445CAF-AC4F-4057-96AC-793E46022A70},818-414-2948                  ,sheller1948@gmail.com,WBT Tool,2020/05/27 14:00:00+00,Verified,M. Laemmle,Water System representative,646532.557099255,3503.73146109214
3725539,CA2400200,Water Service Area,CA2400200,SAN JOAQUIN VALLEY NATIONAL CEMETERY,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1139,A ,1992/12/21 08:00:00+00,F ,MERCED,30,DISTRICT 11 - MERCED,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY,32053 W. MCCABE ROAD, ,GUSTINE,CA  ,95322,4,{6149192B-F3B4-49EA-AB05-4B1BDF49FF46},209-854-1040                  ,steve.brand@va.gov,WBT Tool,,Not Verified,,,2111590.83082908,6326.0978460835
3725540,CA1502622,Water Service Area,CA1502622,GOSFORD ROAD WATER COMPANY,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1140,A ,1976/01/01 08:00:00+00,P ,KERN,50,DISTRICT 19 - TEHACHAPI,COMMUNITY,COMMUNITY,13958 GOSFORD ROAD, ,BAKERSFIELD,CA  ,93313,15,{3D363BD9-9A88-45CE-8D94-67DC101610D8},661-397-4755                  ,hunkydorie77@aol.com,WBT Tool,,Not Verified,,,282538.102531645,2269.36537799364
3725541,CA3400190,Water Service Area,CA3400190,IMPERIAL MANOR MOBILEHOME COMMUNITY,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1142,A ,2016/08/08 07:00:00+00,P ,SACRAMENTO,280,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,5935 AUBURN BLVD, ,CITRUS HEIGHTS,CA  ,95621,187,{7AF70BA9-1AD6-4F0A-B229-BE009796032A},209-838-7842                  ,imperialmanor@evans-management.org,WBT Tool,,Not Verified,,,107284.252606685,1603.55250691367
3725542,CA0900422,Water Service Area,CA0900422,CRYSTAL CAVES MHP,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1143,A ,2016/07/29 07:00:00+00,P ,EL DORADO,112,LPA39 - EL DORADO COUNTY,COMMUNITY,COMMUNITY,8074 PERRY CREEK RD, ,SOMERSET,CA  ,95684,40,{6DA17F2F-37CC-425D-9A60-CD5AC61EDD87},530-306-7044                  ,BECKYELISHER@GMAIL.COM,WBT Tool,,Not Verified,,,125196.9110146,1627.24565557087
3725543,CA1000094,Water Service Area,CA1000094,FCPG/KEARNEY PARK,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1146,A ,1979/03/22 08:00:00+00,L ,FRESNO,103,DISTRICT 12 - VISALIA,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,6725 W KEARNEY BLVD, ,FRESNO,CA  ,93706,25,{00BDAAB3-85A3-4E11-A016-5FAD5812FD3B},559-600-4308                  ,cbernal@fresnocountyca.gov,WBT Tool,,Not Verified,,,1017574.00309797,4351.86814981415
3725544,CA1200715,Water Service Area,CA1200715,GREEN DIAMOND RESOURCE COMPANY - KORBEL,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1147,A ,1979/03/22 08:00:00+00,P ,HUMBOLDT,250,DISTRICT 01 - KLAMATH,COMMUNITY,COMMUNITY,POB 68,1165 MAPLE CREEK RD.,KORBEL,CA  ,95550,18,{0A9709F8-578F-4B6C-BD61-A05DB40716FE},707-668-3782                  ,theresa.taylor@greendiamond.com,WBT Tool,,Not Verified,,,1066325.14776447,4692.29617925346
3725545,CA4510015,Water Service Area,CA4510015,DEL ORO WATER CO.-JOHNSON PARK,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1148,A ,1976/01/01 08:00:00+00,P ,SHASTA,904,DISTRICT 02 - LASSEN,COMMUNITY,COMMUNITY,DRAWER 5172,"21670 COTTONWOOD ST., JOHNSON PARK,CA",CHICO,CA  ,95927,274,{499DF05F-F1CB-4CB6-B1E1-61A9DC2BADC8},530-809-3970                  ,management@delorowater.com,WBT Tool,2019/09/02 07:00:00+00,Verified,K. Connaughton,District / LPA staff member,3005509.1789735,8406.07626132336
3725546,CA0300052,Water Service Area,CA0300052,COOK'S STATION,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1150,A ,2016/07/27 07:00:00+00,P ,AMADOR,38,DISTRICT 10 - STOCKTON,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY, , ,PIONEER,CA  ,95666,1,{44869AE7-D31C-43A2-8DFD-9483EB43B515},209-295-4765                  ,ronbrawley@aol.com,WBT Tool,,Not Verified,,,30270.24367548,673.556622624505
3725547,CA1000189,Water Service Area,CA1000189,LATON HIGH SCHOOL,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1151,A ,1979/03/22 08:00:00+00,L ,FRESNO,150,DISTRICT 23 - FRESNO,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY,6449 DEWOODY, ,LATON,CA  ,93242,1,{4CB8C44D-BD3E-42AC-B4A3-4C4988208814},559-922-4015                  ,lnieves@latonunified.org,WBT Tool,,Not Verified,,,130495.76672334,1702.56956676004
3725548,CA3110018,Water Service Area,CA3110018,TAHOE PARK WATER COMPANY,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1152,A ,1976/01/01 08:00:00+00,P ,PLACER,750,DISTRICT 09 - SACRAMENTO,COMMUNITY,COMMUNITY,P.O. BOX 51,1759 WASHOE WAY,TAHOE CITY,CA  ,96145,438,{1329A271-7AEC-48EC-959D-5296800D9215},530-583-3938                  ,RMDEWANTE@SBCGLOBAL.NET,WBT Tool,2019/09/02 07:00:00+00,Verified,K. Connaughton,District / LPA staff member,1351104.73879552,9245.70553706525
3725549,CA1400155,Water Service Area,CA1400155,CONTROL GORGE POWER PLANT,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1153,A ,2015/04/30 07:00:00+00,L ,INYO,32,DISTRICT 13 - SAN BERNARDINO,COMMUNITY,COMMUNITY,1501 GORGE ROAD, ,BISHOP,CA  ,93514,12,{8A985D57-75E7-4047-94D9-D8332396E7B0},800-342-5397                  ,Jonathan.Leung@LADWP.COM,WBT Tool,,Not Verified,,,76497.069913745,1460.35781803546
3725550,CA4901426,Water Service Area,CA4901426,HORSE & PLOW TASTING ROOM,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1154,A ,2016/06/07 07:00:00+00,P ,SONOMA,45,DISTRICT 25 - MARIN,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,1270 Gravenstein Highway North, ,SEBASTOPOL,CA  ,95472,2,{6C44E728-855F-42A2-A54F-EABD788A82B8},707-592-0568                  ,suzanne@horseandplow.com,WBT Tool,2019/09/02 07:00:00+00,Verified,J. Oakley,District / LPA staff member,12929.52871591,481.354676415233
3725551,CA5210506,Water Service Area,CA5210506,LASSEN VNP - SUMMIT LAKE,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1261,A ,1993/11/24 08:00:00+00,F ,TEHAMA,251,DISTRICT 21 - VALLEY,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,38050 HWY 36E,HWY 89 SUMMIT LAKE CAMPGROUND,MINERAL,CA  ,96063,1,{68B4B0CD-1FF0-4A6E-ADEA-1CA9B7C0D3E5},530-595-6234                  ,robert_l_morris@nps.gov,WBT Tool,,Not Verified,,,3073926.15249484,6896.95099932774
3725552,CA5210503,Water Service Area,CA5210503,LASSEN VNP - HEADQUARTERS,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1262,A ,1993/11/24 08:00:00+00,F ,TEHAMA,69,DISTRICT 21 - VALLEY,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY,38050 HWY. 36E,P.O. BOX 100,MINERAL,CA  ,96063,33,{2896D80D-CF99-4F24-A300-88FB80BFC5DA},530-595-6234                  ,robert_l_morris@nps.gov,WBT Tool,,Not Verified,,,286153.295267445,2112.74086384983
3725553,CA1510003,Water Service Area,CA1510003,CWS - BAKERSFIELD,EPA\GISService,2024/05/23 05:51:07+00,EPA\GISService,2024/05/23 05:51:07+00,34257,A ,1976/01/01 08:00:00+00,P ,KERN,267881,DISTRICT 19 - TEHACHAPI,COMMUNITY,COMMUNITY,"3725 South ""H"" St.", ,BAKERSFIELD,CA  ,93304,65415,{8FBFB915-61E1-485A-8ECF-F32D3C1C4DFB},408-367-8593                  ,sjames@calwater.com,Shapefile,2024/05/22 07:00:00+00,Verified,C. Whitney-Giordano,Water System representative,262225157.21007,189846.872597649
3725554,CA4500027,Water Service Area,CA4500027,BIG SPRINGS MUTUAL WATER SYSTEM,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1264,A ,2015/04/30 07:00:00+00,P ,SHASTA,97,LPA75 - SHASTA COUNTY,COMMUNITY,COMMUNITY,BIG SPRINGS SUBDIVISION,P.O. BOX 132,OLD STATION,CA  ,96071,42,{8A40CA5A-3E1E-467C-B385-003DF87468B7},530-335-4999                  ,christyondrasek@gmail.com,WBT Tool,,Not Verified,,,429343.59509445,2711.4681727742
3725555,CA4500009,Water Service Area,CA4500009,CORTLAND PINES MUTUAL WATER CO,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1265,A ,2015/04/30 07:00:00+00,P ,SHASTA,92,LPA75 - SHASTA COUNTY,COMMUNITY,COMMUNITY,HWY 44 & PONDEROSA, ,SHINGLETOWN,CA  ,96088,33,{E05C1C5D-0F28-4D4F-A51B-892E4D038CFE},916-317-2599                  ,saravalley@yahoo.com,WBT Tool,,Not Verified,,,317126.514734245,4831.37879927532
3725556,CA1500252,Water Service Area,CA1500252,KERN VALLEY MUTUAL WATER COMPANY,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1266,A ,1984/04/26 08:00:00+00,P ,KERN,132,DISTRICT 19 - TEHACHAPI,COMMUNITY,COMMUNITY,267 Kilbreth Drive, ,LAKE ISABELLA,CA  ,93240,47,{70E4C2CF-9765-4893-A146-A4C661C26213},661-859-6142                  ,kernvalleymwc@gmail.com,WBT Tool,,Not Verified,,,148576.49187964,1834.40052976251
3725557,CA1300555,Water Service Area,CA1300555,MITCHELLS CAMP FAMILY ASSOC.,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1267,A ,2016/07/21 07:00:00+00,P ,IMPERIAL,175,LPA43 - IMPERIAL COUNTY,COMMUNITY,COMMUNITY, , ,PALO VERDE,CA  ,92266,70,{0A0FA680-345F-44B7-A9D3-D3E8BB8ADF7B},760-703-1060                  ,landl381@cox.net,WBT Tool,,Not Verified,,,80718.340419675,1214.25839584224
3725558,CA1000061,Water Service Area,CA1000061,MUSICK MEADOWS #2,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1268,A ,1979/03/22 08:00:00+00,P ,FRESNO,289,DISTRICT 23 - FRESNO,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY,MUSICK LN, ,SHAVER LAKE,CA  ,93664,74,{EB34878B-5481-4AEA-8034-997588FB1778},559-298-5636                  ,musickmeadows2@gmail.com,WBT Tool,,Not Verified,,,216887.680063345,2115.88205844373
3725559,CA1000010,Water Service Area,CA1000010,CAMP SIERRA,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1269,A ,2021/05/27 07:00:00+00,P ,FRESNO,250,DISTRICT 23 - FRESNO,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,52080 CAMP SIERRA RD, ,BIG CREEK,CA  ,93605,92,{ACBE2338-265A-41BD-90FB-46C7754B77B8},559-285-3989                  ,CSIASecTreasurer@gmail.com,WBT Tool,,Not Verified,,,672533.646678255,3359.17203644011
3725560,CA1910213,Water Service Area,CA1910213,"TORRANCE-CITY, WATER DEPT.",SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1270,A ,1976/01/01 08:00:00+00,L ,LOS ANGELES,106183,DISTRICT 15 - METROPOLITAN,COMMUNITY,COMMUNITY,3031 TORRANCE BLVD, ,TORRANCE,CA  ,90503,26830,{4566DCA1-AF57-4459-9D0E-C66E56FAA2F3},310-618-3054                  ,CBILEZERIAN@TORRANCECA.GOV,WBT Tool,,Not Verified,,,60945256.1107108,48949.2578010227
3725561,CA1000460,Water Service Area,CA1000460,BELMONT TEMPERANCE PROPERTY WATER SYSTEM,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1271,A ,1993/02/12 08:00:00+00,P ,FRESNO,27,DISTRICT 23 - FRESNO,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,6925 E BELMONT, ,FRESNO,CA  ,93727,4,{5F5C45D0-9CBD-48C3-913D-22D9D38C73BD},559-347-0764                  ,75chahal@gmail.com,WBT Tool,,Not Verified,,,77738.623181115,1151.51335319259
3725562,CA1510055,Water Service Area,CA1510055,CWS - NORTH GARDEN,EPA\GISService,2024/05/23 05:52:03+00,EPA\GISService,2024/05/23 05:52:03+00,34258,A ,1976/01/01 08:00:00+00,P ,KERN,22657,DISTRICT 12 - VISALIA,COMMUNITY,COMMUNITY,"3725 South ""H"" St.", ,BAKERSFIELD,CA  ,93304,8352,{B2F33735-DE77-4BEF-B3E1-654A4C2A8BC6},408-367-8593                  ,sjames@calwater.com,Shapefile,2024/05/22 07:00:00+00,Verified,C. Whitney-Giordano,Water System representative,33385545.7372119,52274.5227724566
3725563,CA2410010,Water Service Area,CA2410010,WINTON WATER & SANITARY DIST,EPA\GISService,2024/07/16 06:42:08+00,EPA\GISService,2024/07/16 06:42:08+00,35221,A ,1976/01/01 08:00:00+00,L ,MERCED,9745,DISTRICT 11 - MERCED,COMMUNITY,COMMUNITY,N Winton Way and W Olive Ave, ,WINTON,CA  ,95388,2831,{D45FE9C3-BF07-4CC1-9065-50A4AC5CBF4C},209-358-2367                  ,jcaldera@wintonwsd.com,Shapefile,2024/07/15 07:00:00+00,Verified,J. Bird,State Board staff member,8963674.85777689,16139.283081911
3725565,CA1000238,Water Service Area,CA1000238,CAMDEN TRAILER PARK,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1275,A ,1979/03/22 08:00:00+00,P ,FRESNO,75,DISTRICT 23 - FRESNO,COMMUNITY,COMMUNITY,80 W MT WHITNEY, ,RIVERDALE,CA  ,93656,26,{923886E2-9EAB-47B4-B846-AEB7907A4CD5},559-864-8585                  ,vromero@riverdalepud.com,WBT Tool,,Not Verified,,,34179.17692105,768.242962554585
3725566,CA1010013,Water Service Area,CA1010013,"HUME LAKE CHRISTIAN CAMPS, INC",SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1276,A ,1976/01/01 08:00:00+00,P ,FRESNO,2427,DISTRICT 23 - FRESNO,COMMUNITY,COMMUNITY,61444 HUME RD., ,HUME,CA  ,93628,388,{E11018CB-7415-45F2-AD55-AE9774405C53},559-305-7423                  ,jeremy.clark@hume.org,WBT Tool,,Not Verified,,,1934182.50372514,5623.10171798156
3725567,CA1000056,Water Service Area,CA1000056,MEADOW LAKES CLUB,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1279,A ,1979/03/22 08:00:00+00,P ,FRESNO,240,DISTRICT 23 - FRESNO,COMMUNITY,COMMUNITY,MEADOW LAKES, ,AUBERRY,CA  ,93602,120,{354619BC-066A-490B-A20F-4DF58CCE5DC8},559-217-5445                  ,bobjeschien@sbcglobal.net,WBT Tool,2020/07/09 14:00:00+00,Verified,B. JESCHIEN,Water System representative,754708.526331175,3841.92860426771
3725568,CA1910006,Water Service Area,CA1910006,SO. CAL. EDISON CO.-SANTA CATALINA,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1280,A ,1968/01/25 08:00:00+00,P ,LOS ANGELES,3822,DISTRICT 16 - CENTRAL,COMMUNITY,COMMUNITY,1 PEBBLY BEACH ROAD, ,AVALON,CA  ,90704,1999,{84473100-981F-469A-9080-A219895255A7},310-510-4372                  ,danny.1.lu@sce.com,WBT Tool,,Not Verified,,,297313015.6166,108707.38389269
3725569,CA4500290,Water Service Area,CA4500290,PINE GROVE MOBILEHOME PARK,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1282,A ,2015/04/30 07:00:00+00,P ,SHASTA,53,LPA75 - SHASTA COUNTY,COMMUNITY,COMMUNITY,44614 HWY 299 E,PO BOX 683,MCARTHUR,CA  ,96056,19,{D9FDCED5-AF2E-45F3-9557-D9F3FABF3C77},510-260-7349                  ,howard.family3000@gmail.com,WBT Tool,,Not Verified,,,23200.723600715,636.157276006199
3725570,CA4500107,Water Service Area,CA4500107,COTTONWOOD RIDGE MANUFACTURED HOUSING CO,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1283,A ,2015/04/30 07:00:00+00,P ,SHASTA,205,LPA75 - SHASTA COUNTY,COMMUNITY,COMMUNITY,7252 White House Drive #89, ,ANDERSON,CA  ,96007,73,{2B2A8BA4-57C3-444E-97CA-6AB0BE27E833},209-932-8747                  ,sherrie@harmonycom.com,WBT Tool,,Not Verified,,,73520.802107705,1347.44097346686
3725571,CA3690006,Water Service Area,CA3690006,CITY OF CHINO,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1284,A ,1998/02/26 08:00:00+00,  ,SAN BERNARDINO,1,DISTRICT 13 - SAN BERNARDINO,NON-PUBLIC,Recycled Water,13220 CENTRAL AVENUE, ,CHINO,CA  ,91710,1,{F07B4CFA-D211-4173-A2D3-BB71478B8BA2},909-334-3404                  ,DCROSLEY@CITYOFCHINO.ORG,WBT Tool,,Not Verified,,,106962680.711172,56811.4701799623
3725572,CA4900637,Water Service Area,CA4900637,MAGIC MOUNTAIN MUTUAL WATER COMPANY,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1285,A ,1983/01/27 08:00:00+00,P ,SONOMA,150,DISTRICT 18 - SONOMA,COMMUNITY,COMMUNITY,650 Cazadero Highway, ,CAZADERO,CA  ,95421,67,{6D040D63-3A5E-4162-8884-1FD82928D97D},707-632-5299                  ,board@magicmtn.org,WBT Tool,2019/09/02 07:00:00+00,Verified,J. Oakley,District / LPA staff member,990237.10105717,5680.3767482429
3725573,CA0600013,Water Service Area,CA0600013,COLUSA CO. WWD #2 - PRINCETON,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1286,A ,1979/03/22 08:00:00+00,L ,COLUSA,382,DISTRICT 21 - VALLEY,COMMUNITY,COMMUNITY,HWY 45 - COMMERCIAL STREET, ,PRINCETON,CA  ,95970,128,{285524E2-AC45-4AC0-96EC-28393715C354},530-682-2378                  ,clintonwills@gmail.com,WBT Tool,,Not Verified,,,744176.7388467,3839.32730956118
3725574,CA1900529,Water Service Area,CA1900529,CAMP WILLIAMS-RESORT WATER,SBUCKNAM,2020/10/20 03:20:27+00,epa\gisservice,2023/10/21 06:04:50+00,1288,A ,2016/08/08 07:00:00+00,P ,LOS ANGELES,80,DISTRICT 16 - CENTRAL,COMMUNITY,COMMUNITY,24210 EAST FORK RD, ,AZUSA,CA  ,91702,69,{842AC98D-0DE8-424B-927C-FAB646714A88},626-910-1126                  ,INFO@CAMPWILLIAMS.COM,WBT Tool,2023/10/20 14:00:00+00,Verified,W. Shuster,Water System representative,117453.60930217,1470.55019266614
3725575,CA3110013,Water Service Area,CA3110013,TAHOE CITY PUD - TAHOE CEDARS,EPA\GISService,2024/07/13 05:45:57+00,EPA\GISService,2024/07/13 05:45:57+00,35217,A ,1976/01/01 08:00:00+00,P ,PLACER,793,DISTRICT 09 - SACRAMENTO,COMMUNITY,COMMUNITY,221 FAIRWAY DRIVE, ,TAHOE CITY,CA  ,96145,1181,{07122F65-039B-4861-99C0-012C5D8B885F},530-580-6326                  ,sbarclay@tcpud.org,Shapefile,2024/07/12 07:00:00+00,Verified,K. Hyche,Water System representative,3437972.77073546,10546.6141456365
3725576,CA3500925,Water Service Area,CA3500925,PAICINES RANCH,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1290,A ,2007/01/22 08:00:00+00,P ,SAN BENITO,52,DISTRICT 05 - MONTEREY,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY,1338 Hwy 25, ,PAICINES,CA  ,95043,17,{0AA7E015-BF4C-4DA7-88B9-068C15825C65},831-628-0288                  ,jeb@paicinesranch.com,WBT Tool,,Not Verified,,,193239.403521845,1904.8468310068
3725577,CA4900907,Water Service Area,CA4900907,SUMMERFIELD WALDORF SCHOOL,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1291,A ,1983/01/27 08:00:00+00,P ,SONOMA,301,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY,655 Willowside Road, ,SANTA ROSA,CA  ,95401,13,{083CDF4B-FB5F-4880-8EA8-1723CC844B06},707-575-7194                  ,lisa@summerfieldwaldorf.org,WBT Tool,2019/09/02 07:00:00+00,Verified,J. Oakley,District / LPA staff member,216831.390842795,1930.2775394789
3725578,CA1210314,Water Service Area,CA1210314,HIDDEN SPRINGS CG-STATE PARKS,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1292,A ,1976/01/01 08:00:00+00,S ,HUMBOLDT,351,DISTRICT 01 - KLAMATH,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,600A CLARK STREET,"P.O. BOX 100, WEOTT CA 95571",EUREKA,CA  ,95501,65,{44C6E556-12F3-4BC0-9983-D2F811B9E841},707-445-6547                  ,John.Miller@parks.ca.gov,WBT Tool,,Not Verified,,,1423782.91912719,4911.24753511065
3725579,CA3301055,Water Service Area,CA3301055,HARMONY HAVEN,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1293,A ,2016/07/27 07:00:00+00,P ,RIVERSIDE,54,LPA63 - RIVERSIDE COUNTY,COMMUNITY,COMMUNITY,14700 MANZANITA PARK RD, ,BEAUMONT,CA  ,92223,12,{42051715-598C-49A0-9814-C3DCF218C03A},951-955-8009                  ,msullivan@rivco.org,WBT Tool,,Not Verified,,,184567.165444565,2408.49497715853
3725580,CA4900667,Water Service Area,CA4900667,COLLEGE PARK MUTUAL WATER COMPANY,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1294,A ,1979/03/22 08:00:00+00,P ,SONOMA,237,DISTRICT 18 - SONOMA,COMMUNITY,COMMUNITY,6860 Cold Springs Road, ,PENNGROVE,CA  ,94951,72,{6BD41E35-5032-445D-8733-566CCB8A7881},510-849-7320                  ,collegeparkwaterboard@gmail.com,WBT Tool,2019/09/02 07:00:00+00,Verified,J. Oakley,District / LPA staff member,1794966.92010208,7725.47142003223
3725581,CA1000546,Water Service Area,CA1000546,FCSA #49/ FIVE POINTS,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1295,A ,2004/07/10 07:00:00+00,L ,FRESNO,440,DISTRICT 23 - FRESNO,COMMUNITY,COMMUNITY,19191 E. EXCELSIOR AVE.,AND FRESNO-COALINGA ROAD,FIVE POINTS,CA  ,93624,46,{F868B078-9413-4127-8E7F-9CE460D53490},559-600-4482                  ,cbump@fresnocountyca.gov,WBT Tool,,Not Verified,,,592278.65987323,7779.97332434226
3725582,CA0310011,Water Service Area,CA0310011,FIRST MACE MEADOW # 1,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,1296,A ,1976/01/01 08:00:00+00,L ,AMADOR,838,DISTRICT 10 - STOCKTON,COMMUNITY,COMMUNITY,26006 FOREST KNOLL COURT, ,PIONEER,CA  ,95666,337,{FB7B4FAF-1CEE-4B05-8500-436B5B929F70},209-296-3121                  ,jeff8066@volcano.net,WBT Tool,,Not Verified,,,1031138.81955574,4015.04186599054
